"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed"
"R01","Male","BSCS","with_ai",4.125,"High",42,"Completed"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed"
"R04","Male","BSCS","without_ai",3.625,"High",76,"Completed"
"R05","Male","BSCS","with_ai",4.9375,"Very High",79,"Completed"
"R06","Male","BSCS","with_ai",3,"Moderate",84,"Completed"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed"
"R08","Female","BSCS","with_ai",4.375,"Very High",60,"Completed"
"R09","Female","BSCS","with_ai",3.4375,"High",58,"Completed"
"R10","Female","BSCS","with_ai",4.6875,"Very High",73,"Completed"
"R11","Male","BSCS","with_ai",4.25,"Very High",44,"Completed"
"R12","Female","BSCS","with_ai",3.5,"High",72,"Completed"
"R13","Male","BSCS","with_ai",3.6875,"High",39,"Completed"
"R14","Male","BSCS","without_ai",3.375,"Moderate",37,"Completed"
"R15","Male","BSCS","with_ai",4.25,"Very High",61,"Completed"
"R16","Male","BSCS","with_ai",3.9375,"High",83,"Completed"
"R17","Female","BSCS","with_ai",4.875,"Very High",84,"Completed"
"R18","Female","BSCS","without_ai",2.6875,"Moderate",52,"Completed"
"R19","Male","BSCS","without_ai",3.25,"Moderate",74,"Completed"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed"
"R22","Male","BSCS","with_ai",2.9375,"Moderate",60,"Completed"
"R23","Male","BSCS","without_ai",3.5625,"High",53,"Completed"
"R24","Female","BSCS","with_ai",3.75,"High",69,"Completed"
"R25","Female","BSCS","without_ai",3.8125,"High",73,"Completed"
"R26","Female","BSDSA","without_ai",3.625,"High",61,"Completed"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed"
"R28","Male","BSDSA","with_ai",3.6875,"High",61,"Completed"
"R29","Male","BSDSA","without_ai",4,"High",74,"Completed"
"R30","Male","BSDSA","without_ai",3.3125,"Moderate",56,"Completed"
"R31","Female","BSDSA","with_ai",4.5,"Very High",69,"Completed"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed"
"R33","Male","BSDSA","without_ai",4.5,"Very High",87,"Completed"
"R34","Male","BSDSA","with_ai",4.75,"Very High",100,"Completed"
"R35","Male","BSDSA","with_ai",3.625,"High",51,"Completed"
"R36","Female","BSDSA","without_ai",3.6875,"High",52,"Completed"
"R37","Female","BSDSA","without_ai",3.4375,"High",54,"Not completed"
"R38","Female","BSDSA","with_ai",4.1875,"High",33,"Not completed"
"R39","Female","BSDSA","without_ai",2.625,"Moderate",47,"Completed"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed"
"R41","Female","BSDSA","without_ai",3.75,"High",62,"Completed"
"R42","Female","BSDSA","without_ai",4.0625,"High",65,"Completed"
"R43","Male","BSDSA","with_ai",3.8125,"High",78,"Completed"
"R44","Female","BSDSA","without_ai",2.5,"Low",0,"Not completed"
"R45","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed"
"R46","Female","BSDSA","with_ai",3.625,"High",65,"Completed"
"R47","Male","BSDSA","without_ai",3.3125,"Moderate",52,"Completed"
"R48","Female","BSDSA","with_ai",3.9375,"High",60,"Completed"
"R49","Male","BSDSA","with_ai",4.25,"Very High",83,"Completed"
"R50","Male","BSDSA","without_ai",2.375,"Low",0,"Not completed"
