"respondent_id","student_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lec_score","lab_score","lab_completed"
"R01","25-0889","Male","BSCS","with_ai",4.125,"High",42,100,1
"R02","25-0890","Female","BSCS","with_ai",3.6875,"High",61,100,1
"R03","25-0892","Male","BSCS","with_ai",4.1875,"High",56,100,1
"R04","25-0894","Male","BSCS","without_ai",3.625,"High",76,100,1
"R05","25-0897","Male","BSCS","with_ai",4.9375,"Very High",79,100,1
"R06","25-0899","Male","BSCS","with_ai",3,"Moderate",84,100,1
"R07","25-0900","Male","BSCS","without_ai",4.5,"Very High",65,100,1
"R08","25-0901","Female","BSCS","with_ai",4.375,"Very High",60,100,1
"R09","25-0902","Female","BSCS","with_ai",3.4375,"High",58,100,1
"R10","25-0903","Female","BSCS","with_ai",4.6875,"Very High",73,100,1
"R11","25-0905","Male","BSCS","with_ai",4.25,"Very High",44,100,1
"R12","25-0906","Female","BSCS","with_ai",3.5,"High",72,100,1
"R13","25-0907","Male","BSCS","with_ai",3.6875,"High",39,100,1
"R14","25-0913","Male","BSCS","without_ai",3.375,"Moderate",37,100,1
"R15","25-0914","Male","BSCS","with_ai",4.25,"Very High",61,100,1
"R16","25-0918","Male","BSCS","with_ai",3.9375,"High",83,100,1
"R17","25-0921","Female","BSCS","with_ai",4.875,"Very High",84,100,1
"R18","25-0923","Female","BSCS","without_ai",2.6875,"Moderate",52,100,1
"R19","25-0925","Male","BSCS","without_ai",3.25,"Moderate",74,100,1
"R20","25-2198","Female","BSCS","without_ai",2.5625,"Low",31,100,1
"R21","25-2547","Female","BSCS","with_ai",3.3125,"Moderate",45,100,1
"R22","25-2548","Male","BSCS","with_ai",2.9375,"Moderate",60,100,1
"R23","25-2805","Male","BSCS","without_ai",3.5625,"High",53,100,1
"R24","25-2806","Female","BSCS","with_ai",3.75,"High",69,100,1
"R25","25-2807","Female","BSCS","without_ai",3.8125,"High",73,100,1
"R26","24-1141","Female","BSDSA","without_ai",3.625,"High",61,100,1
"R27","24-1618","Female","BSDSA","with_ai",3.6875,"High",80,100,1
"R28","25-0721","Male","BSDSA","with_ai",3.6875,"High",61,100,1
"R29","25-0774","Male","BSDSA","without_ai",4,"High",74,100,1
"R30","25-0776","Male","BSDSA","without_ai",3.3125,"Moderate",56,100,1
"R31","25-0779","Female","BSDSA","with_ai",4.5,"Very High",69,100,1
"R32","25-0780","Female","BSDSA","without_ai",3.75,"High",69,100,1
"R33","25-0781","Male","BSDSA","without_ai",4.5,"Very High",87,100,1
"R34","25-0888","Male","BSDSA","with_ai",4.75,"Very High",100,100,1
"R35","25-2809","Male","BSDSA","with_ai",3.625,"High",51,100,1
"R36","25-2810","Female","BSDSA","without_ai",3.6875,"High",52,100,1
"R37","25-2811","Female","BSDSA","without_ai",3.4375,"High",54,0,0
"R38","25-2812","Female","BSDSA","with_ai",4.1875,"High",33,0,0
"R39","25-2813","Female","BSDSA","without_ai",2.625,"Moderate",47,100,1
"R40","25-2814","Female","BSDSA","without_ai",3,"Moderate",58,100,1
"R41","25-2815","Female","BSDSA","without_ai",3.75,"High",62,100,1
"R42","25-2816","Female","BSDSA","without_ai",4.0625,"High",65,100,1
"R43","25-2817","Male","BSDSA","with_ai",3.8125,"High",78,100,1
"R44","25-2818","Female","BSDSA","without_ai",2.5,"Low",0,0,0
"R45","25-2819","Male","BSDSA","with_ai",4.4375,"Very High",65,100,1
"R46","25-2820","Female","BSDSA","with_ai",3.625,"High",65,100,1
"R47","25-2821","Male","BSDSA","without_ai",3.3125,"Moderate",52,100,1
"R48","25-2822","Female","BSDSA","with_ai",3.9375,"High",60,100,1
"R49","25-2899","Male","BSDSA","with_ai",4.25,"Very High",83,100,1
"R50","25-2976","Male","BSDSA","without_ai",2.375,"Low",0,0,0
