Timestamp,I have read and understood the Data Privacy Notice above and voluntarily consent to participate in this study.,Student ID Number,1. Sex,2. Program,"Please answer the statements under Cognitive Preparation. [I am good at organizing my coding notes, snippets, and laboratory exercises to make my review more efficient.]",Please answer the statements under Cognitive Preparation. [I create my own programming examples or practice problems to make the information more meaningful.],Please answer the statements under Cognitive Preparation. [I draw flowcharts or diagrams to help me visualize the program logic while I am studying.],Please answer the statements under Cognitive Preparation. [I try to translate complex coding syntax or technical terms into my own words to ensure I understand them.],Please answer the statements under Metacognitive Monitoring. [I find myself pausing regularly while reviewing code to check if I actually understand the program flow.],Please answer the statements under Metacognitive Monitoring. [I ask myself questions about how well I am doing while I am learning a new programming concept.],"Please answer the statements under Metacognitive Monitoring. [I analyze the usefulness of my study strategies (e.g., manual tracing vs. watching tutorials) while I am preparing.]",Please answer the statements under Metacognitive Monitoring. [I consider several alternative logic structures or ways to solve a problem before I settle on a final answer.],Please answer the statements under Planning and Time Management. [I pace myself while reviewing modules to ensure I have enough time for the actual coding practice.],"Please answer the statements under Planning and Time Management. [I set specific study goals (e.g., mastering Arrays or OOP) before I begin my review session.]",Please answer the statements under Planning and Time Management. [I think about what I really need to learn or master before I begin a specific review task.],Please answer the statements under Planning and Time Management. [I organize my study time in a way that best accomplishes my goals for the programming exam.],Please answer the statements under Readiness Evaluation. [I am a good judge of how well I understand a programming topic before the exam begins.],Please answer the statements under Readiness Evaluation. [I understand my intellectual strengths and weaknesses regarding specific programming languages or topics.],Please answer the statements under Readiness Evaluation. [I ask myself how well I accomplished my study goals once I have finished my review session.],Please answer the statements under Readiness Evaluation. [I ask myself if there was an easier or more efficient way to solve a coding problem after I finish a practice task.],3. What was your PRIMARY method of preparation for the Intermediate Programming 2 Prelim Exam?
4/2/2026 20:01:54,I understand and voluntarily consent to participate,25-0925,Male,BSCS,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,4 - Agree,2 - Disagree,3 - Neutral,3 - Neutral,2 - Disagree,4 - Agree,2 - Disagree,5 - Strongly Agree,5 - Strongly Agree,2 - Disagree,3 - Neutral,Did not prepare
4/2/2026 20:04:30,I understand and voluntarily consent to participate,25-2807,Female,BSCS,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,"Traditional (notes, books, review sessions only)"
4/2/2026 20:04:54,I do not understand - I prefer not to participate,24-0916,Prefer not to say,BSCS,2 - Disagree,1 - Strongly Disagree,5 - Strongly Agree,5 - Strongly Agree,3 - Neutral,3 - Neutral,5 - Strongly Agree,5 - Strongly Agree,5 - Strongly Agree,3 - Neutral,3 - Neutral,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,5 - Strongly Agree,AI-Assisted (primarily used AI tools)
4/2/2026 23:51:17,I understand and voluntarily consent to participate,25-2548,Male,BSCS,3 - Neutral,2 - Disagree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,2 - Disagree,2 - Disagree,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,Hybrid (combined traditional methods with AI tools)
4/4/2026 8:00:03,I understand and voluntarily consent to participate,25-0889,Male,BSCS,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,4 - Agree,5 - Strongly Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,Hybrid (combined traditional methods with AI tools)
4/13/2026 14:42:00,I understand and voluntarily consent to participate,24-1618,Female,BSDSA,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,5 - Strongly Agree,Hybrid (combined traditional methods with AI tools)
4/13/2026 16:24:34,I understand and voluntarily consent to participate,25-0721,Male,BSDSA,3 - Neutral,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,Hybrid (combined traditional methods with AI tools)
4/13/2026 19:28:57,I understand and voluntarily consent to participate,25-2816,Female,BSDSA,4 - Agree,4 - Agree,5 - Strongly Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,5 - Strongly Agree,4 - Agree,4 - Agree,"Traditional (notes, books, review sessions only)"
4/13/2026 20:42:24,I understand and voluntarily consent to participate,25-2809,Male,BSDSA,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,3 - Neutral,4 - Agree,Hybrid (combined traditional methods with AI tools)
4/13/2026 21:12:11,I understand and voluntarily consent to participate,25-0780,Female,BSDSA,4 - Agree,3 - Neutral,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,"Traditional (notes, books, review sessions only)"
