"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R01","Male","BSCS","with_ai",4.125,"High",42,"Completed","Completed","equal","lab_completed"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","Completed","equal","lab_completed"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","Completed","equal","lab_completed"
"R04","Male","BSCS","without_ai",3.625,"High",76,"Completed","Completed","equal","lab_completed"
"R08","Female","BSCS","with_ai",4.375,"Very High",60,"Completed","Completed","equal","lab_completed"
"R11","Male","BSCS","with_ai",4.25,"Very High",44,"Completed","Completed","equal","lab_completed"
"R12","Female","BSCS","with_ai",3.5,"High",72,"Completed","Completed","equal","lab_completed"
"R13","Male","BSCS","with_ai",3.6875,"High",39,"Completed","Completed","equal","lab_completed"
"R14","Male","BSCS","without_ai",3.375,"Moderate",37,"Completed","Completed","equal","lab_completed"
"R15","Male","BSCS","with_ai",4.25,"Very High",61,"Completed","Completed","equal","lab_completed"
"R17","Female","BSCS","with_ai",4.875,"Very High",84,"Completed","Completed","equal","lab_completed"
"R18","Female","BSCS","without_ai",2.6875,"Moderate",52,"Completed","Completed","equal","lab_completed"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","Completed","equal","lab_completed"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed","Completed","equal","lab_completed"
"R22","Male","BSCS","with_ai",2.9375,"Moderate",60,"Completed","Completed","equal","lab_completed"
"R23","Male","BSCS","without_ai",3.5625,"High",53,"Completed","Completed","equal","lab_completed"
"R25","Female","BSCS","without_ai",3.8125,"High",73,"Completed","Completed","equal","lab_completed"
"R26","Female","BSDSA","without_ai",3.625,"High",61,"Completed","Completed","equal","lab_completed"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed","Completed","equal","lab_completed"
"R28","Male","BSDSA","with_ai",3.6875,"High",61,"Completed","Completed","equal","lab_completed"
"R35","Male","BSDSA","with_ai",3.625,"High",51,"Completed","Completed","equal","lab_completed"
"R36","Female","BSDSA","without_ai",3.6875,"High",52,"Completed","Completed","equal","lab_completed"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","Completed","equal","lab_completed"
"R42","Female","BSDSA","without_ai",4.0625,"High",65,"Completed","Completed","equal","lab_completed"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","Completed","equal","lab_completed"
"R45","Female","BSDSA","with_ai",3.625,"High",65,"Completed","Completed","equal","lab_completed"
"R37","Female","BSDSA","without_ai",3.4375,"High",54,"Not completed","Not completed","equal","lab_completed"
"R38","Female","BSDSA","with_ai",4.1875,"High",33,"Not completed","Not completed","equal","lab_completed"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","Not completed","equal","lab_completed"
"R50","Male","BSDSA","without_ai",2.375,"Low",31,"Not completed","Not completed","equal","lab_completed"
