"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R04","Male","BSCS","without_ai",3.625,"High",76,"Completed","Completed","proportional","lab_completed"
"R05","Male","BSCS","with_ai",4.9375,"Very High",79,"Completed","Completed","proportional","lab_completed"
"R10","Female","BSCS","with_ai",4.6875,"Very High",73,"Completed","Completed","proportional","lab_completed"
"R12","Female","BSCS","with_ai",3.5,"High",72,"Completed","Completed","proportional","lab_completed"
"R13","Male","BSCS","with_ai",3.6875,"High",39,"Completed","Completed","proportional","lab_completed"
"R15","Male","BSCS","with_ai",4.25,"Very High",61,"Completed","Completed","proportional","lab_completed"
"R19","Male","BSCS","without_ai",3.25,"Moderate",74,"Completed","Completed","proportional","lab_completed"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","Completed","proportional","lab_completed"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed","Completed","proportional","lab_completed"
"R22","Male","BSCS","with_ai",2.9375,"Moderate",60,"Completed","Completed","proportional","lab_completed"
"R23","Male","BSCS","without_ai",3.5625,"High",53,"Completed","Completed","proportional","lab_completed"
"R24","Female","BSCS","with_ai",3.75,"High",69,"Completed","Completed","proportional","lab_completed"
"R26","Female","BSDSA","without_ai",3.625,"High",61,"Completed","Completed","proportional","lab_completed"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed","Completed","proportional","lab_completed"
"R28","Male","BSDSA","with_ai",3.6875,"High",61,"Completed","Completed","proportional","lab_completed"
"R30","Male","BSDSA","without_ai",3.3125,"Moderate",56,"Completed","Completed","proportional","lab_completed"
"R31","Female","BSDSA","with_ai",4.5,"Very High",69,"Completed","Completed","proportional","lab_completed"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","Completed","proportional","lab_completed"
"R33","Male","BSDSA","without_ai",4.5,"Very High",87,"Completed","Completed","proportional","lab_completed"
"R34","Male","BSDSA","with_ai",4.75,"Very High",100,"Completed","Completed","proportional","lab_completed"
"R35","Male","BSDSA","with_ai",3.625,"High",51,"Completed","Completed","proportional","lab_completed"
"R36","Female","BSDSA","without_ai",3.6875,"High",52,"Completed","Completed","proportional","lab_completed"
"R41","Female","BSDSA","without_ai",3.75,"High",62,"Completed","Completed","proportional","lab_completed"
"R42","Female","BSDSA","without_ai",4.0625,"High",65,"Completed","Completed","proportional","lab_completed"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","Completed","proportional","lab_completed"
"R45","Female","BSDSA","with_ai",3.625,"High",65,"Completed","Completed","proportional","lab_completed"
"R46","Male","BSDSA","without_ai",3.3125,"Moderate",52,"Completed","Completed","proportional","lab_completed"
"R48","Male","BSDSA","with_ai",4.25,"Very High",83,"Completed","Completed","proportional","lab_completed"
"R38","Female","BSDSA","with_ai",4.1875,"High",33,"Not completed","Not completed","proportional","lab_completed"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","Not completed","proportional","lab_completed"
