"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R01","Male","BSCS","with_ai",4.125,"High",42,"Completed","with_ai","equal","preparation_mode"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","with_ai","equal","preparation_mode"
"R06","Male","BSCS","with_ai",3,"Moderate",84,"Completed","with_ai","equal","preparation_mode"
"R12","Female","BSCS","with_ai",3.5,"High",72,"Completed","with_ai","equal","preparation_mode"
"R13","Male","BSCS","with_ai",3.6875,"High",39,"Completed","with_ai","equal","preparation_mode"
"R16","Male","BSCS","with_ai",3.9375,"High",83,"Completed","with_ai","equal","preparation_mode"
"R17","Female","BSCS","with_ai",4.875,"Very High",84,"Completed","with_ai","equal","preparation_mode"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed","with_ai","equal","preparation_mode"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed","with_ai","equal","preparation_mode"
"R28","Male","BSDSA","with_ai",3.6875,"High",61,"Completed","with_ai","equal","preparation_mode"
"R38","Female","BSDSA","with_ai",4.1875,"High",33,"Not completed","with_ai","equal","preparation_mode"
"R43","Male","BSDSA","with_ai",3.8125,"High",78,"Completed","with_ai","equal","preparation_mode"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","with_ai","equal","preparation_mode"
"R47","Female","BSDSA","with_ai",3.9375,"High",60,"Completed","with_ai","equal","preparation_mode"
"R48","Male","BSDSA","with_ai",4.25,"Very High",83,"Completed","with_ai","equal","preparation_mode"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed","without_ai","equal","preparation_mode"
"R14","Male","BSCS","without_ai",3.375,"Moderate",37,"Completed","without_ai","equal","preparation_mode"
"R19","Male","BSCS","without_ai",3.25,"Moderate",74,"Completed","without_ai","equal","preparation_mode"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","without_ai","equal","preparation_mode"
"R23","Male","BSCS","without_ai",3.5625,"High",53,"Completed","without_ai","equal","preparation_mode"
"R25","Female","BSCS","without_ai",3.8125,"High",73,"Completed","without_ai","equal","preparation_mode"
"R26","Female","BSDSA","without_ai",3.625,"High",61,"Completed","without_ai","equal","preparation_mode"
"R29","Male","BSDSA","without_ai",4,"High",74,"Completed","without_ai","equal","preparation_mode"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","without_ai","equal","preparation_mode"
"R33","Male","BSDSA","without_ai",4.5,"Very High",87,"Completed","without_ai","equal","preparation_mode"
"R39","Female","BSDSA","without_ai",2.625,"Moderate",47,"Completed","without_ai","equal","preparation_mode"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","without_ai","equal","preparation_mode"
"R41","Female","BSDSA","without_ai",3.75,"High",62,"Completed","without_ai","equal","preparation_mode"
"R42","Female","BSDSA","without_ai",4.0625,"High",65,"Completed","without_ai","equal","preparation_mode"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","without_ai","equal","preparation_mode"
