"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R01","Male","BSCS","with_ai",4.125,"High",42,"Completed","with_ai","proportional","preparation_mode"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","with_ai","proportional","preparation_mode"
"R08","Female","BSCS","with_ai",4.375,"Very High",60,"Completed","with_ai","proportional","preparation_mode"
"R09","Female","BSCS","with_ai",3.4375,"High",58,"Completed","with_ai","proportional","preparation_mode"
"R13","Male","BSCS","with_ai",3.6875,"High",39,"Completed","with_ai","proportional","preparation_mode"
"R16","Male","BSCS","with_ai",3.9375,"High",83,"Completed","with_ai","proportional","preparation_mode"
"R17","Female","BSCS","with_ai",4.875,"Very High",84,"Completed","with_ai","proportional","preparation_mode"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed","with_ai","proportional","preparation_mode"
"R24","Female","BSCS","with_ai",3.75,"High",69,"Completed","with_ai","proportional","preparation_mode"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed","with_ai","proportional","preparation_mode"
"R31","Female","BSDSA","with_ai",4.5,"Very High",69,"Completed","with_ai","proportional","preparation_mode"
"R34","Male","BSDSA","with_ai",4.75,"Very High",100,"Completed","with_ai","proportional","preparation_mode"
"R35","Male","BSDSA","with_ai",3.625,"High",51,"Completed","with_ai","proportional","preparation_mode"
"R43","Male","BSDSA","with_ai",3.8125,"High",78,"Completed","with_ai","proportional","preparation_mode"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","with_ai","proportional","preparation_mode"
"R45","Female","BSDSA","with_ai",3.625,"High",65,"Completed","with_ai","proportional","preparation_mode"
"R47","Female","BSDSA","with_ai",3.9375,"High",60,"Completed","with_ai","proportional","preparation_mode"
"R04","Male","BSCS","without_ai",3.625,"High",76,"Completed","without_ai","proportional","preparation_mode"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed","without_ai","proportional","preparation_mode"
"R19","Male","BSCS","without_ai",3.25,"Moderate",74,"Completed","without_ai","proportional","preparation_mode"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","without_ai","proportional","preparation_mode"
"R25","Female","BSCS","without_ai",3.8125,"High",73,"Completed","without_ai","proportional","preparation_mode"
"R30","Male","BSDSA","without_ai",3.3125,"Moderate",56,"Completed","without_ai","proportional","preparation_mode"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","without_ai","proportional","preparation_mode"
"R33","Male","BSDSA","without_ai",4.5,"Very High",87,"Completed","without_ai","proportional","preparation_mode"
"R39","Female","BSDSA","without_ai",2.625,"Moderate",47,"Completed","without_ai","proportional","preparation_mode"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","without_ai","proportional","preparation_mode"
"R41","Female","BSDSA","without_ai",3.75,"High",62,"Completed","without_ai","proportional","preparation_mode"
"R46","Male","BSDSA","without_ai",3.3125,"Moderate",52,"Completed","without_ai","proportional","preparation_mode"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","without_ai","proportional","preparation_mode"
