"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R01","Male","BSCS","with_ai",4.125,"High",42,"Completed","BSCS","equal","program"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","BSCS","equal","program"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","BSCS","equal","program"
"R05","Male","BSCS","with_ai",4.9375,"Very High",79,"Completed","BSCS","equal","program"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed","BSCS","equal","program"
"R08","Female","BSCS","with_ai",4.375,"Very High",60,"Completed","BSCS","equal","program"
"R09","Female","BSCS","with_ai",3.4375,"High",58,"Completed","BSCS","equal","program"
"R11","Male","BSCS","with_ai",4.25,"Very High",44,"Completed","BSCS","equal","program"
"R12","Female","BSCS","with_ai",3.5,"High",72,"Completed","BSCS","equal","program"
"R15","Male","BSCS","with_ai",4.25,"Very High",61,"Completed","BSCS","equal","program"
"R18","Female","BSCS","without_ai",2.6875,"Moderate",52,"Completed","BSCS","equal","program"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed","BSCS","equal","program"
"R23","Male","BSCS","without_ai",3.5625,"High",53,"Completed","BSCS","equal","program"
"R24","Female","BSCS","with_ai",3.75,"High",69,"Completed","BSCS","equal","program"
"R25","Female","BSCS","without_ai",3.8125,"High",73,"Completed","BSCS","equal","program"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed","BSDSA","equal","program"
"R30","Male","BSDSA","without_ai",3.3125,"Moderate",56,"Completed","BSDSA","equal","program"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","BSDSA","equal","program"
"R33","Male","BSDSA","without_ai",4.5,"Very High",87,"Completed","BSDSA","equal","program"
"R34","Male","BSDSA","with_ai",4.75,"Very High",100,"Completed","BSDSA","equal","program"
"R36","Female","BSDSA","without_ai",3.6875,"High",52,"Completed","BSDSA","equal","program"
"R37","Female","BSDSA","without_ai",3.4375,"High",54,"Not completed","BSDSA","equal","program"
"R38","Female","BSDSA","with_ai",4.1875,"High",33,"Not completed","BSDSA","equal","program"
"R39","Female","BSDSA","without_ai",2.625,"Moderate",47,"Completed","BSDSA","equal","program"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","BSDSA","equal","program"
"R41","Female","BSDSA","without_ai",3.75,"High",62,"Completed","BSDSA","equal","program"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","BSDSA","equal","program"
"R45","Female","BSDSA","with_ai",3.625,"High",65,"Completed","BSDSA","equal","program"
"R47","Female","BSDSA","with_ai",3.9375,"High",60,"Completed","BSDSA","equal","program"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","BSDSA","equal","program"
