"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R01","Male","BSCS","with_ai",4.125,"High",42,"Completed","BSCS","proportional","program"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","BSCS","proportional","program"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","BSCS","proportional","program"
"R04","Male","BSCS","without_ai",3.625,"High",76,"Completed","BSCS","proportional","program"
"R06","Male","BSCS","with_ai",3,"Moderate",84,"Completed","BSCS","proportional","program"
"R08","Female","BSCS","with_ai",4.375,"Very High",60,"Completed","BSCS","proportional","program"
"R09","Female","BSCS","with_ai",3.4375,"High",58,"Completed","BSCS","proportional","program"
"R11","Male","BSCS","with_ai",4.25,"Very High",44,"Completed","BSCS","proportional","program"
"R12","Female","BSCS","with_ai",3.5,"High",72,"Completed","BSCS","proportional","program"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","BSCS","proportional","program"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed","BSCS","proportional","program"
"R22","Male","BSCS","with_ai",2.9375,"Moderate",60,"Completed","BSCS","proportional","program"
"R23","Male","BSCS","without_ai",3.5625,"High",53,"Completed","BSCS","proportional","program"
"R24","Female","BSCS","with_ai",3.75,"High",69,"Completed","BSCS","proportional","program"
"R25","Female","BSCS","without_ai",3.8125,"High",73,"Completed","BSCS","proportional","program"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed","BSDSA","proportional","program"
"R29","Male","BSDSA","without_ai",4,"High",74,"Completed","BSDSA","proportional","program"
"R30","Male","BSDSA","without_ai",3.3125,"Moderate",56,"Completed","BSDSA","proportional","program"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","BSDSA","proportional","program"
"R36","Female","BSDSA","without_ai",3.6875,"High",52,"Completed","BSDSA","proportional","program"
"R37","Female","BSDSA","without_ai",3.4375,"High",54,"Not completed","BSDSA","proportional","program"
"R39","Female","BSDSA","without_ai",2.625,"Moderate",47,"Completed","BSDSA","proportional","program"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","BSDSA","proportional","program"
"R43","Male","BSDSA","with_ai",3.8125,"High",78,"Completed","BSDSA","proportional","program"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","BSDSA","proportional","program"
"R45","Female","BSDSA","with_ai",3.625,"High",65,"Completed","BSDSA","proportional","program"
"R46","Male","BSDSA","without_ai",3.3125,"Moderate",52,"Completed","BSDSA","proportional","program"
"R47","Female","BSDSA","with_ai",3.9375,"High",60,"Completed","BSDSA","proportional","program"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","BSDSA","proportional","program"
"R50","Male","BSDSA","without_ai",2.375,"Low",31,"Not completed","BSDSA","proportional","program"
