"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R01","Male","BSCS","with_ai",4.125,"High",42,"Completed","BSCS | with_ai","equal","program_preparation_mode"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","BSCS | with_ai","equal","program_preparation_mode"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","BSCS | with_ai","equal","program_preparation_mode"
"R10","Female","BSCS","with_ai",4.6875,"Very High",73,"Completed","BSCS | with_ai","equal","program_preparation_mode"
"R11","Male","BSCS","with_ai",4.25,"Very High",44,"Completed","BSCS | with_ai","equal","program_preparation_mode"
"R15","Male","BSCS","with_ai",4.25,"Very High",61,"Completed","BSCS | with_ai","equal","program_preparation_mode"
"R16","Male","BSCS","with_ai",3.9375,"High",83,"Completed","BSCS | with_ai","equal","program_preparation_mode"
"R24","Female","BSCS","with_ai",3.75,"High",69,"Completed","BSCS | with_ai","equal","program_preparation_mode"
"R04","Male","BSCS","without_ai",3.625,"High",76,"Completed","BSCS | without_ai","equal","program_preparation_mode"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed","BSCS | without_ai","equal","program_preparation_mode"
"R14","Male","BSCS","without_ai",3.375,"Moderate",37,"Completed","BSCS | without_ai","equal","program_preparation_mode"
"R19","Male","BSCS","without_ai",3.25,"Moderate",74,"Completed","BSCS | without_ai","equal","program_preparation_mode"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","BSCS | without_ai","equal","program_preparation_mode"
"R23","Male","BSCS","without_ai",3.5625,"High",53,"Completed","BSCS | without_ai","equal","program_preparation_mode"
"R25","Female","BSCS","without_ai",3.8125,"High",73,"Completed","BSCS | without_ai","equal","program_preparation_mode"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed","BSDSA | with_ai","equal","program_preparation_mode"
"R28","Male","BSDSA","with_ai",3.6875,"High",61,"Completed","BSDSA | with_ai","equal","program_preparation_mode"
"R34","Male","BSDSA","with_ai",4.75,"Very High",100,"Completed","BSDSA | with_ai","equal","program_preparation_mode"
"R35","Male","BSDSA","with_ai",3.625,"High",51,"Completed","BSDSA | with_ai","equal","program_preparation_mode"
"R38","Female","BSDSA","with_ai",4.1875,"High",33,"Not completed","BSDSA | with_ai","equal","program_preparation_mode"
"R43","Male","BSDSA","with_ai",3.8125,"High",78,"Completed","BSDSA | with_ai","equal","program_preparation_mode"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","BSDSA | with_ai","equal","program_preparation_mode"
"R26","Female","BSDSA","without_ai",3.625,"High",61,"Completed","BSDSA | without_ai","equal","program_preparation_mode"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","BSDSA | without_ai","equal","program_preparation_mode"
"R33","Male","BSDSA","without_ai",4.5,"Very High",87,"Completed","BSDSA | without_ai","equal","program_preparation_mode"
"R36","Female","BSDSA","without_ai",3.6875,"High",52,"Completed","BSDSA | without_ai","equal","program_preparation_mode"
"R37","Female","BSDSA","without_ai",3.4375,"High",54,"Not completed","BSDSA | without_ai","equal","program_preparation_mode"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","BSDSA | without_ai","equal","program_preparation_mode"
"R46","Male","BSDSA","without_ai",3.3125,"Moderate",52,"Completed","BSDSA | without_ai","equal","program_preparation_mode"
"R50","Male","BSDSA","without_ai",2.375,"Low",31,"Not completed","BSDSA | without_ai","equal","program_preparation_mode"
