"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","BSCS | with_ai","proportional","program_preparation_mode"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","BSCS | with_ai","proportional","program_preparation_mode"
"R06","Male","BSCS","with_ai",3,"Moderate",84,"Completed","BSCS | with_ai","proportional","program_preparation_mode"
"R09","Female","BSCS","with_ai",3.4375,"High",58,"Completed","BSCS | with_ai","proportional","program_preparation_mode"
"R10","Female","BSCS","with_ai",4.6875,"Very High",73,"Completed","BSCS | with_ai","proportional","program_preparation_mode"
"R11","Male","BSCS","with_ai",4.25,"Very High",44,"Completed","BSCS | with_ai","proportional","program_preparation_mode"
"R13","Male","BSCS","with_ai",3.6875,"High",39,"Completed","BSCS | with_ai","proportional","program_preparation_mode"
"R17","Female","BSCS","with_ai",4.875,"Very High",84,"Completed","BSCS | with_ai","proportional","program_preparation_mode"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed","BSCS | with_ai","proportional","program_preparation_mode"
"R24","Female","BSCS","with_ai",3.75,"High",69,"Completed","BSCS | with_ai","proportional","program_preparation_mode"
"R04","Male","BSCS","without_ai",3.625,"High",76,"Completed","BSCS | without_ai","proportional","program_preparation_mode"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed","BSCS | without_ai","proportional","program_preparation_mode"
"R18","Female","BSCS","without_ai",2.6875,"Moderate",52,"Completed","BSCS | without_ai","proportional","program_preparation_mode"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","BSCS | without_ai","proportional","program_preparation_mode"
"R25","Female","BSCS","without_ai",3.8125,"High",73,"Completed","BSCS | without_ai","proportional","program_preparation_mode"
"R28","Male","BSDSA","with_ai",3.6875,"High",61,"Completed","BSDSA | with_ai","proportional","program_preparation_mode"
"R31","Female","BSDSA","with_ai",4.5,"Very High",69,"Completed","BSDSA | with_ai","proportional","program_preparation_mode"
"R34","Male","BSDSA","with_ai",4.75,"Very High",100,"Completed","BSDSA | with_ai","proportional","program_preparation_mode"
"R35","Male","BSDSA","with_ai",3.625,"High",51,"Completed","BSDSA | with_ai","proportional","program_preparation_mode"
"R43","Male","BSDSA","with_ai",3.8125,"High",78,"Completed","BSDSA | with_ai","proportional","program_preparation_mode"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","BSDSA | with_ai","proportional","program_preparation_mode"
"R48","Male","BSDSA","with_ai",4.25,"Very High",83,"Completed","BSDSA | with_ai","proportional","program_preparation_mode"
"R26","Female","BSDSA","without_ai",3.625,"High",61,"Completed","BSDSA | without_ai","proportional","program_preparation_mode"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","BSDSA | without_ai","proportional","program_preparation_mode"
"R33","Male","BSDSA","without_ai",4.5,"Very High",87,"Completed","BSDSA | without_ai","proportional","program_preparation_mode"
"R36","Female","BSDSA","without_ai",3.6875,"High",52,"Completed","BSDSA | without_ai","proportional","program_preparation_mode"
"R37","Female","BSDSA","without_ai",3.4375,"High",54,"Not completed","BSDSA | without_ai","proportional","program_preparation_mode"
"R39","Female","BSDSA","without_ai",2.625,"Moderate",47,"Completed","BSDSA | without_ai","proportional","program_preparation_mode"
"R42","Female","BSDSA","without_ai",4.0625,"High",65,"Completed","BSDSA | without_ai","proportional","program_preparation_mode"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","BSDSA | without_ai","proportional","program_preparation_mode"
