"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R09","Female","BSCS","with_ai",3.4375,"High",58,"Completed","BSCS | Female","equal","program_sex"
"R12","Female","BSCS","with_ai",3.5,"High",72,"Completed","BSCS | Female","equal","program_sex"
"R18","Female","BSCS","without_ai",2.6875,"Moderate",52,"Completed","BSCS | Female","equal","program_sex"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","BSCS | Female","equal","program_sex"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed","BSCS | Female","equal","program_sex"
"R24","Female","BSCS","with_ai",3.75,"High",69,"Completed","BSCS | Female","equal","program_sex"
"R25","Female","BSCS","without_ai",3.8125,"High",73,"Completed","BSCS | Female","equal","program_sex"
"R01","Male","BSCS","with_ai",4.125,"High",42,"Completed","BSCS | Male","equal","program_sex"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","BSCS | Male","equal","program_sex"
"R05","Male","BSCS","with_ai",4.9375,"Very High",79,"Completed","BSCS | Male","equal","program_sex"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed","BSCS | Male","equal","program_sex"
"R14","Male","BSCS","without_ai",3.375,"Moderate",37,"Completed","BSCS | Male","equal","program_sex"
"R15","Male","BSCS","with_ai",4.25,"Very High",61,"Completed","BSCS | Male","equal","program_sex"
"R19","Male","BSCS","without_ai",3.25,"Moderate",74,"Completed","BSCS | Male","equal","program_sex"
"R23","Male","BSCS","without_ai",3.5625,"High",53,"Completed","BSCS | Male","equal","program_sex"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","BSDSA | Female","equal","program_sex"
"R36","Female","BSDSA","without_ai",3.6875,"High",52,"Completed","BSDSA | Female","equal","program_sex"
"R37","Female","BSDSA","without_ai",3.4375,"High",54,"Not completed","BSDSA | Female","equal","program_sex"
"R39","Female","BSDSA","without_ai",2.625,"Moderate",47,"Completed","BSDSA | Female","equal","program_sex"
"R42","Female","BSDSA","without_ai",4.0625,"High",65,"Completed","BSDSA | Female","equal","program_sex"
"R45","Female","BSDSA","with_ai",3.625,"High",65,"Completed","BSDSA | Female","equal","program_sex"
"R47","Female","BSDSA","with_ai",3.9375,"High",60,"Completed","BSDSA | Female","equal","program_sex"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","BSDSA | Female","equal","program_sex"
"R28","Male","BSDSA","with_ai",3.6875,"High",61,"Completed","BSDSA | Male","equal","program_sex"
"R29","Male","BSDSA","without_ai",4,"High",74,"Completed","BSDSA | Male","equal","program_sex"
"R34","Male","BSDSA","with_ai",4.75,"Very High",100,"Completed","BSDSA | Male","equal","program_sex"
"R35","Male","BSDSA","with_ai",3.625,"High",51,"Completed","BSDSA | Male","equal","program_sex"
"R43","Male","BSDSA","with_ai",3.8125,"High",78,"Completed","BSDSA | Male","equal","program_sex"
"R46","Male","BSDSA","without_ai",3.3125,"Moderate",52,"Completed","BSDSA | Male","equal","program_sex"
"R50","Male","BSDSA","without_ai",2.375,"Low",31,"Not completed","BSDSA | Male","equal","program_sex"
