"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","BSCS | Female | with_ai","proportional","program_sex_preparation_mode"
"R09","Female","BSCS","with_ai",3.4375,"High",58,"Completed","BSCS | Female | with_ai","proportional","program_sex_preparation_mode"
"R10","Female","BSCS","with_ai",4.6875,"Very High",73,"Completed","BSCS | Female | with_ai","proportional","program_sex_preparation_mode"
"R17","Female","BSCS","with_ai",4.875,"Very High",84,"Completed","BSCS | Female | with_ai","proportional","program_sex_preparation_mode"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed","BSCS | Female | with_ai","proportional","program_sex_preparation_mode"
"R18","Female","BSCS","without_ai",2.6875,"Moderate",52,"Completed","BSCS | Female | without_ai","proportional","program_sex_preparation_mode"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","BSCS | Female | without_ai","proportional","program_sex_preparation_mode"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","BSCS | Male | with_ai","proportional","program_sex_preparation_mode"
"R05","Male","BSCS","with_ai",4.9375,"Very High",79,"Completed","BSCS | Male | with_ai","proportional","program_sex_preparation_mode"
"R06","Male","BSCS","with_ai",3,"Moderate",84,"Completed","BSCS | Male | with_ai","proportional","program_sex_preparation_mode"
"R15","Male","BSCS","with_ai",4.25,"Very High",61,"Completed","BSCS | Male | with_ai","proportional","program_sex_preparation_mode"
"R22","Male","BSCS","with_ai",2.9375,"Moderate",60,"Completed","BSCS | Male | with_ai","proportional","program_sex_preparation_mode"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed","BSCS | Male | without_ai","proportional","program_sex_preparation_mode"
"R14","Male","BSCS","without_ai",3.375,"Moderate",37,"Completed","BSCS | Male | without_ai","proportional","program_sex_preparation_mode"
"R19","Male","BSCS","without_ai",3.25,"Moderate",74,"Completed","BSCS | Male | without_ai","proportional","program_sex_preparation_mode"
"R31","Female","BSDSA","with_ai",4.5,"Very High",69,"Completed","BSDSA | Female | with_ai","proportional","program_sex_preparation_mode"
"R38","Female","BSDSA","with_ai",4.1875,"High",33,"Not completed","BSDSA | Female | with_ai","proportional","program_sex_preparation_mode"
"R45","Female","BSDSA","with_ai",3.625,"High",65,"Completed","BSDSA | Female | with_ai","proportional","program_sex_preparation_mode"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","BSDSA | Female | without_ai","proportional","program_sex_preparation_mode"
"R37","Female","BSDSA","without_ai",3.4375,"High",54,"Not completed","BSDSA | Female | without_ai","proportional","program_sex_preparation_mode"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","BSDSA | Female | without_ai","proportional","program_sex_preparation_mode"
"R41","Female","BSDSA","without_ai",3.75,"High",62,"Completed","BSDSA | Female | without_ai","proportional","program_sex_preparation_mode"
"R42","Female","BSDSA","without_ai",4.0625,"High",65,"Completed","BSDSA | Female | without_ai","proportional","program_sex_preparation_mode"
"R28","Male","BSDSA","with_ai",3.6875,"High",61,"Completed","BSDSA | Male | with_ai","proportional","program_sex_preparation_mode"
"R34","Male","BSDSA","with_ai",4.75,"Very High",100,"Completed","BSDSA | Male | with_ai","proportional","program_sex_preparation_mode"
"R35","Male","BSDSA","with_ai",3.625,"High",51,"Completed","BSDSA | Male | with_ai","proportional","program_sex_preparation_mode"
"R43","Male","BSDSA","with_ai",3.8125,"High",78,"Completed","BSDSA | Male | with_ai","proportional","program_sex_preparation_mode"
"R30","Male","BSDSA","without_ai",3.3125,"Moderate",56,"Completed","BSDSA | Male | without_ai","proportional","program_sex_preparation_mode"
"R33","Male","BSDSA","without_ai",4.5,"Very High",87,"Completed","BSDSA | Male | without_ai","proportional","program_sex_preparation_mode"
"R46","Male","BSDSA","without_ai",3.3125,"Moderate",52,"Completed","BSDSA | Male | without_ai","proportional","program_sex_preparation_mode"
