"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","Female","equal","sex"
"R12","Female","BSCS","with_ai",3.5,"High",72,"Completed","Female","equal","sex"
"R17","Female","BSCS","with_ai",4.875,"Very High",84,"Completed","Female","equal","sex"
"R18","Female","BSCS","without_ai",2.6875,"Moderate",52,"Completed","Female","equal","sex"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","Female","equal","sex"
"R25","Female","BSCS","without_ai",3.8125,"High",73,"Completed","Female","equal","sex"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed","Female","equal","sex"
"R31","Female","BSDSA","with_ai",4.5,"Very High",69,"Completed","Female","equal","sex"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","Female","equal","sex"
"R36","Female","BSDSA","without_ai",3.6875,"High",52,"Completed","Female","equal","sex"
"R37","Female","BSDSA","without_ai",3.4375,"High",54,"Not completed","Female","equal","sex"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","Female","equal","sex"
"R41","Female","BSDSA","without_ai",3.75,"High",62,"Completed","Female","equal","sex"
"R45","Female","BSDSA","with_ai",3.625,"High",65,"Completed","Female","equal","sex"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","Female","equal","sex"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","Male","equal","sex"
"R04","Male","BSCS","without_ai",3.625,"High",76,"Completed","Male","equal","sex"
"R06","Male","BSCS","with_ai",3,"Moderate",84,"Completed","Male","equal","sex"
"R13","Male","BSCS","with_ai",3.6875,"High",39,"Completed","Male","equal","sex"
"R14","Male","BSCS","without_ai",3.375,"Moderate",37,"Completed","Male","equal","sex"
"R15","Male","BSCS","with_ai",4.25,"Very High",61,"Completed","Male","equal","sex"
"R16","Male","BSCS","with_ai",3.9375,"High",83,"Completed","Male","equal","sex"
"R19","Male","BSCS","without_ai",3.25,"Moderate",74,"Completed","Male","equal","sex"
"R22","Male","BSCS","with_ai",2.9375,"Moderate",60,"Completed","Male","equal","sex"
"R23","Male","BSCS","without_ai",3.5625,"High",53,"Completed","Male","equal","sex"
"R28","Male","BSDSA","with_ai",3.6875,"High",61,"Completed","Male","equal","sex"
"R30","Male","BSDSA","without_ai",3.3125,"Moderate",56,"Completed","Male","equal","sex"
"R46","Male","BSDSA","without_ai",3.3125,"Moderate",52,"Completed","Male","equal","sex"
"R48","Male","BSDSA","with_ai",4.25,"Very High",83,"Completed","Male","equal","sex"
"R50","Male","BSDSA","without_ai",2.375,"Low",31,"Not completed","Male","equal","sex"
