"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","Female","proportional","sex"
"R09","Female","BSCS","with_ai",3.4375,"High",58,"Completed","Female","proportional","sex"
"R12","Female","BSCS","with_ai",3.5,"High",72,"Completed","Female","proportional","sex"
"R21","Female","BSCS","with_ai",3.3125,"Moderate",45,"Completed","Female","proportional","sex"
"R24","Female","BSCS","with_ai",3.75,"High",69,"Completed","Female","proportional","sex"
"R26","Female","BSDSA","without_ai",3.625,"High",61,"Completed","Female","proportional","sex"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed","Female","proportional","sex"
"R37","Female","BSDSA","without_ai",3.4375,"High",54,"Not completed","Female","proportional","sex"
"R38","Female","BSDSA","with_ai",4.1875,"High",33,"Not completed","Female","proportional","sex"
"R39","Female","BSDSA","without_ai",2.625,"Moderate",47,"Completed","Female","proportional","sex"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","Female","proportional","sex"
"R41","Female","BSDSA","without_ai",3.75,"High",62,"Completed","Female","proportional","sex"
"R45","Female","BSDSA","with_ai",3.625,"High",65,"Completed","Female","proportional","sex"
"R47","Female","BSDSA","with_ai",3.9375,"High",60,"Completed","Female","proportional","sex"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","Female","proportional","sex"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","Male","proportional","sex"
"R04","Male","BSCS","without_ai",3.625,"High",76,"Completed","Male","proportional","sex"
"R05","Male","BSCS","with_ai",4.9375,"Very High",79,"Completed","Male","proportional","sex"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed","Male","proportional","sex"
"R11","Male","BSCS","with_ai",4.25,"Very High",44,"Completed","Male","proportional","sex"
"R13","Male","BSCS","with_ai",3.6875,"High",39,"Completed","Male","proportional","sex"
"R16","Male","BSCS","with_ai",3.9375,"High",83,"Completed","Male","proportional","sex"
"R22","Male","BSCS","with_ai",2.9375,"Moderate",60,"Completed","Male","proportional","sex"
"R29","Male","BSDSA","without_ai",4,"High",74,"Completed","Male","proportional","sex"
"R33","Male","BSDSA","without_ai",4.5,"Very High",87,"Completed","Male","proportional","sex"
"R34","Male","BSDSA","with_ai",4.75,"Very High",100,"Completed","Male","proportional","sex"
"R35","Male","BSDSA","with_ai",3.625,"High",51,"Completed","Male","proportional","sex"
"R43","Male","BSDSA","with_ai",3.8125,"High",78,"Completed","Male","proportional","sex"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","Male","proportional","sex"
"R50","Male","BSDSA","without_ai",2.375,"Low",31,"Not completed","Male","proportional","sex"
