"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","Female | with_ai","equal","sex_preparation_mode"
"R08","Female","BSCS","with_ai",4.375,"Very High",60,"Completed","Female | with_ai","equal","sex_preparation_mode"
"R10","Female","BSCS","with_ai",4.6875,"Very High",73,"Completed","Female | with_ai","equal","sex_preparation_mode"
"R17","Female","BSCS","with_ai",4.875,"Very High",84,"Completed","Female | with_ai","equal","sex_preparation_mode"
"R27","Female","BSDSA","with_ai",3.6875,"High",80,"Completed","Female | with_ai","equal","sex_preparation_mode"
"R31","Female","BSDSA","with_ai",4.5,"Very High",69,"Completed","Female | with_ai","equal","sex_preparation_mode"
"R38","Female","BSDSA","with_ai",4.1875,"High",33,"Not completed","Female | with_ai","equal","sex_preparation_mode"
"R47","Female","BSDSA","with_ai",3.9375,"High",60,"Completed","Female | with_ai","equal","sex_preparation_mode"
"R18","Female","BSCS","without_ai",2.6875,"Moderate",52,"Completed","Female | without_ai","equal","sex_preparation_mode"
"R26","Female","BSDSA","without_ai",3.625,"High",61,"Completed","Female | without_ai","equal","sex_preparation_mode"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","Female | without_ai","equal","sex_preparation_mode"
"R39","Female","BSDSA","without_ai",2.625,"Moderate",47,"Completed","Female | without_ai","equal","sex_preparation_mode"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","Female | without_ai","equal","sex_preparation_mode"
"R41","Female","BSDSA","without_ai",3.75,"High",62,"Completed","Female | without_ai","equal","sex_preparation_mode"
"R42","Female","BSDSA","without_ai",4.0625,"High",65,"Completed","Female | without_ai","equal","sex_preparation_mode"
"R01","Male","BSCS","with_ai",4.125,"High",42,"Completed","Male | with_ai","equal","sex_preparation_mode"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","Male | with_ai","equal","sex_preparation_mode"
"R13","Male","BSCS","with_ai",3.6875,"High",39,"Completed","Male | with_ai","equal","sex_preparation_mode"
"R15","Male","BSCS","with_ai",4.25,"Very High",61,"Completed","Male | with_ai","equal","sex_preparation_mode"
"R16","Male","BSCS","with_ai",3.9375,"High",83,"Completed","Male | with_ai","equal","sex_preparation_mode"
"R28","Male","BSDSA","with_ai",3.6875,"High",61,"Completed","Male | with_ai","equal","sex_preparation_mode"
"R35","Male","BSDSA","with_ai",3.625,"High",51,"Completed","Male | with_ai","equal","sex_preparation_mode"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","Male | with_ai","equal","sex_preparation_mode"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed","Male | without_ai","equal","sex_preparation_mode"
"R23","Male","BSCS","without_ai",3.5625,"High",53,"Completed","Male | without_ai","equal","sex_preparation_mode"
"R29","Male","BSDSA","without_ai",4,"High",74,"Completed","Male | without_ai","equal","sex_preparation_mode"
"R30","Male","BSDSA","without_ai",3.3125,"Moderate",56,"Completed","Male | without_ai","equal","sex_preparation_mode"
"R33","Male","BSDSA","without_ai",4.5,"Very High",87,"Completed","Male | without_ai","equal","sex_preparation_mode"
"R46","Male","BSDSA","without_ai",3.3125,"Moderate",52,"Completed","Male | without_ai","equal","sex_preparation_mode"
"R50","Male","BSDSA","without_ai",2.375,"Low",31,"Not completed","Male | without_ai","equal","sex_preparation_mode"
