"respondent_id","sex","program","preparation_mode","preparedness_score","preparedness_level","lecture_score","lab_completed","stratum_label","allocation_method","sampling_design"
"R02","Female","BSCS","with_ai",3.6875,"High",61,"Completed","Female | with_ai","proportional","sex_preparation_mode"
"R08","Female","BSCS","with_ai",4.375,"Very High",60,"Completed","Female | with_ai","proportional","sex_preparation_mode"
"R09","Female","BSCS","with_ai",3.4375,"High",58,"Completed","Female | with_ai","proportional","sex_preparation_mode"
"R10","Female","BSCS","with_ai",4.6875,"Very High",73,"Completed","Female | with_ai","proportional","sex_preparation_mode"
"R17","Female","BSCS","with_ai",4.875,"Very High",84,"Completed","Female | with_ai","proportional","sex_preparation_mode"
"R24","Female","BSCS","with_ai",3.75,"High",69,"Completed","Female | with_ai","proportional","sex_preparation_mode"
"R31","Female","BSDSA","with_ai",4.5,"Very High",69,"Completed","Female | with_ai","proportional","sex_preparation_mode"
"R38","Female","BSDSA","with_ai",4.1875,"High",33,"Not completed","Female | with_ai","proportional","sex_preparation_mode"
"R18","Female","BSCS","without_ai",2.6875,"Moderate",52,"Completed","Female | without_ai","proportional","sex_preparation_mode"
"R20","Female","BSCS","without_ai",2.5625,"Low",31,"Completed","Female | without_ai","proportional","sex_preparation_mode"
"R32","Female","BSDSA","without_ai",3.75,"High",69,"Completed","Female | without_ai","proportional","sex_preparation_mode"
"R36","Female","BSDSA","without_ai",3.6875,"High",52,"Completed","Female | without_ai","proportional","sex_preparation_mode"
"R39","Female","BSDSA","without_ai",2.625,"Moderate",47,"Completed","Female | without_ai","proportional","sex_preparation_mode"
"R40","Female","BSDSA","without_ai",3,"Moderate",58,"Completed","Female | without_ai","proportional","sex_preparation_mode"
"R49","Female","BSDSA","without_ai",2.5,"Low",29,"Not completed","Female | without_ai","proportional","sex_preparation_mode"
"R03","Male","BSCS","with_ai",4.1875,"High",56,"Completed","Male | with_ai","proportional","sex_preparation_mode"
"R11","Male","BSCS","with_ai",4.25,"Very High",44,"Completed","Male | with_ai","proportional","sex_preparation_mode"
"R13","Male","BSCS","with_ai",3.6875,"High",39,"Completed","Male | with_ai","proportional","sex_preparation_mode"
"R16","Male","BSCS","with_ai",3.9375,"High",83,"Completed","Male | with_ai","proportional","sex_preparation_mode"
"R22","Male","BSCS","with_ai",2.9375,"Moderate",60,"Completed","Male | with_ai","proportional","sex_preparation_mode"
"R34","Male","BSDSA","with_ai",4.75,"Very High",100,"Completed","Male | with_ai","proportional","sex_preparation_mode"
"R43","Male","BSDSA","with_ai",3.8125,"High",78,"Completed","Male | with_ai","proportional","sex_preparation_mode"
"R44","Male","BSDSA","with_ai",4.4375,"Very High",65,"Completed","Male | with_ai","proportional","sex_preparation_mode"
"R48","Male","BSDSA","with_ai",4.25,"Very High",83,"Completed","Male | with_ai","proportional","sex_preparation_mode"
"R04","Male","BSCS","without_ai",3.625,"High",76,"Completed","Male | without_ai","proportional","sex_preparation_mode"
"R07","Male","BSCS","without_ai",4.5,"Very High",65,"Completed","Male | without_ai","proportional","sex_preparation_mode"
"R14","Male","BSCS","without_ai",3.375,"Moderate",37,"Completed","Male | without_ai","proportional","sex_preparation_mode"
"R29","Male","BSDSA","without_ai",4,"High",74,"Completed","Male | without_ai","proportional","sex_preparation_mode"
"R46","Male","BSDSA","without_ai",3.3125,"Moderate",52,"Completed","Male | without_ai","proportional","sex_preparation_mode"
"R50","Male","BSDSA","without_ai",2.375,"Low",31,"Not completed","Male | without_ai","proportional","sex_preparation_mode"
