"design","strata_columns","allocation_method","seed","population_n","target_sample_n","actual_sample_n","n_strata","min_stratum_n","max_stratum_n","capacity_limited","output_file"
"program","program","proportional",143,50,30,30,2,25,25,FALSE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-program-proportional.csv"
"program","program","equal",144,50,30,30,2,25,25,FALSE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-program-equal.csv"
"sex","sex","proportional",243,50,30,30,2,25,25,FALSE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-sex-proportional.csv"
"sex","sex","equal",244,50,30,30,2,25,25,FALSE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-sex-equal.csv"
"preparation_mode","preparation_mode","proportional",343,50,30,30,2,22,28,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-preparation_mode-proportional.csv"
"preparation_mode","preparation_mode","equal",344,50,30,30,2,22,28,FALSE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-preparation_mode-equal.csv"
"preparedness_level","preparedness_level","proportional",443,50,30,30,4,3,25,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-preparedness_level-proportional.csv"
"preparedness_level","preparedness_level","equal",444,50,30,30,4,3,25,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-preparedness_level-equal.csv"
"lab_completed","lab_completed","proportional",543,50,30,30,2,4,46,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-lab_completed-proportional.csv"
"lab_completed","lab_completed","equal",544,50,30,30,2,4,46,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-lab_completed-equal.csv"
"program_sex","program,sex","proportional",643,50,30,30,4,11,14,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-program_sex-proportional.csv"
"program_sex","program,sex","equal",644,50,30,30,4,11,14,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-program_sex-equal.csv"
"program_preparation_mode","program,preparation_mode","proportional",743,50,30,30,4,8,17,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-program_preparation_mode-proportional.csv"
"program_preparation_mode","program,preparation_mode","equal",744,50,30,30,4,8,17,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-program_preparation_mode-equal.csv"
"sex_preparation_mode","sex,preparation_mode","proportional",843,50,30,30,4,10,15,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-sex_preparation_mode-proportional.csv"
"sex_preparation_mode","sex,preparation_mode","equal",844,50,30,30,4,10,15,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-sex_preparation_mode-equal.csv"
"program_sex_preparation_mode","program,sex,preparation_mode","proportional",943,50,30,30,8,3,9,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-program_sex_preparation_mode-proportional.csv"
"program_sex_preparation_mode","program,sex,preparation_mode","equal",944,50,30,30,8,3,9,TRUE,"/home/jade/dev/projects/stats-stud/data/ccsict/samples/ccsict-clean-stratified-program_sex_preparation_mode-equal.csv"
