"comparison","diff","ci_low","ci_high","adj_p","significant","interpretation"
"bachelor's degree-associate's degree",1.50694762559165,-3.35868146230117,6.37257671348447,0.950283371348484,FALSE,"Not significant (p = 0.950)"
"high school-associate's degree",-5.74512778084206,-9.93114152035774,-1.55911404132638,0.00133081377109556,TRUE,"Significant (p = 0.001)"
"master's degree-associate's degree",1.86287982898148,-4.39270184063289,8.11846149859584,0.95784559049325,FALSE,"Not significant (p = 0.958)"
"some college-associate's degree",-0.75456429881207,-4.79032429998303,3.28119570235889,0.994793712008265,FALSE,"Not significant (p = 0.995)"
"some high school-associate's degree",-4.38567617897228,-8.67596189141091,-0.0953904665336394,0.0417546037637405,TRUE,"Significant (p = 0.042)"
"high school-bachelor's degree",-7.25207540643371,-12.2284471585236,-2.2757036543438,0.000491794774569732,TRUE,"Significant (p = < 0.001)"
"master's degree-bachelor's degree",0.355932203389827,-6.4539038308183,7.16576823759796,0.999989723630716,FALSE,"Not significant (p = 1.000)"
"some college-bachelor's degree",-2.26151192440372,-7.11217410338875,2.5891502545813,0.767618822778072,FALSE,"Not significant (p = 0.768)"
"some high school-bachelor's degree",-5.89262380456393,-10.9570207362765,-0.828226872851384,0.0118856971847688,TRUE,"Significant (p = 0.012)"
"master's degree-high school",7.60800760982354,1.26590768793135,13.9501075317157,0.00837187688581276,TRUE,"Significant (p = 0.008)"
"some college-high school",4.99056348202999,0.821956018967402,9.15917094509258,0.00857477417146457,TRUE,"Significant (p = 0.009)"
"some high school-high school",1.35945160186979,-3.05603035239124,5.77493355613081,0.951499597696029,FALSE,"Not significant (p = 0.951)"
"some college-master's degree",-2.61744412779355,-8.86139153139187,3.62650327580478,0.838432073459181,FALSE,"Not significant (p = 0.838)"
"some high school-master's degree",-6.24855600795375,-12.6599577178925,0.162845701985027,0.0610615222924563,FALSE,"Not significant (p = 0.061)"
"some high school-some college",-3.6311118801602,-7.90441606404908,0.642192303728668,0.148178441023724,FALSE,"Not significant (p = 0.148)"
