"group","score","n","mean","median","sd","iqr","skewness","kurtosis"
"group A","math_score",89,61.6292134831461,61,14.5230084086596,20,0.283308187554658,2.86049781742041
"group A","reading_score",89,64.6741573033708,64,15.54376174262,21,0.0657040734534847,2.70749404151118
"group A","writing_score",89,62.6741573033708,62,15.4682778621419,22,0.0450026310733758,2.69152455891438
"group B","math_score",190,63.4526315789474,63,15.4681912364729,20,-0.465200874157419,3.70290241645134
"group B","reading_score",190,67.3526315789474,67,15.1774989546905,23.75,-0.280409780571402,2.72088974758686
"group B","writing_score",190,65.6,67,15.6251730149151,22.75,-0.447891375442473,3.00978846269102
"group C","math_score",319,64.4639498432602,65,14.8526658792537,19,-0.308039968450012,3.70428312050983
"group C","reading_score",319,69.1034482758621,71,13.9970331769821,18.5,-0.400733391485191,3.21337038646262
"group C","writing_score",319,67.8275862068966,68,14.9833783421903,22,-0.301472148123144,3.00405836483658
"group D","math_score",262,67.3625954198473,69,13.7693859766096,18,-0.338309278118828,2.9141782503701
"group D","reading_score",262,70.030534351145,71,13.8953058207189,18.75,-0.131341186745913,2.86475214027149
"group D","writing_score",262,70.1450381679389,72,14.3677065188416,19,-0.179511313212898,2.79482264062475
"group E","math_score",140,73.8214285714286,74.5,15.5342591254812,20.25,-0.46628986790496,2.90106392546321
"group E","reading_score",140,73.0285714285714,74,14.8740239300789,21,-0.327333104934128,2.9639288121605
"group E","writing_score",140,71.4071428571429,72,15.1139063262903,18.25,-0.344531664446126,3.14891983649064
